date,filename,total_rain,rain_class,period,wet
2023-02-14 16:15:00,SMM00894_20230214_161500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 16:20:00,SMM00894_20230214_162000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 16:25:00,SMM00894_20230214_162500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 16:30:00,SMM00894_20230214_163000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 16:35:00,SMM00894_20230214_163500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 16:40:00,SMM00894_20230214_164000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 16:45:00,SMM00894_20230214_164500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 16:50:00,SMM00894_20230214_165000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 16:55:00,SMM00894_20230214_165500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 17:00:00,SMM00894_20230214_170000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 17:05:00,SMM00894_20230214_170500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 17:10:00,SMM00894_20230214_171000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 17:15:00,SMM00894_20230214_171500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 17:20:00,SMM00894_20230214_172000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 17:25:00,SMM00894_20230214_172500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 17:30:00,SMM00894_20230214_173000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 17:35:00,SMM00894_20230214_173500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 17:40:00,SMM00894_20230214_174000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 17:45:00,SMM00894_20230214_174500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 17:50:00,SMM00894_20230214_175000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 17:55:00,SMM00894_20230214_175500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 18:00:00,SMM00894_20230214_180000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-14 18:05:00,SMM00894_20230214_180500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-14 18:10:00,SMM00894_20230214_181000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-14 18:15:00,SMM00894_20230214_181500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-14 18:20:00,SMM00894_20230214_182000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-14 18:25:00,SMM00894_20230214_182500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-14 18:30:00,SMM00894_20230214_183000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-14 18:35:00,SMM00894_20230214_183500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-14 18:40:00,SMM00894_20230214_184000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-14 18:45:00,SMM00894_20230214_184500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-14 18:50:00,SMM00894_20230214_185000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-14 18:55:00,SMM00894_20230214_185500_0-0_no-rain_night.wav,0.0,no-rain,night,False
2023-02-14 19:00:00,SMM00894_20230214_190000_0-0_no-rain_night.wav,0.0,no-rain,night,False
2023-02-14 19:05:00,SMM00894_20230214_190500_0-0_no-rain_night.wav,0.0,no-rain,night,False
2023-02-14 19:10:00,SMM00894_20230214_191000_0-0_no-rain_night.wav,0.0,no-rain,night,False
2023-02-14 19:15:00,SMM00894_20230214_191500_0-0_no-rain_night.wav,0.0,no-rain,night,False
2023-02-14 19:20:00,SMM00894_20230214_192000_0-0_no-rain_night.wav,0.0,no-rain,night,False
2023-02-14 19:25:00,SMM00894_20230214_192500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 19:30:00,SMM00894_20230214_193000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 19:35:00,SMM00894_20230214_193500_0-6_moderate_night.wav,0.6,moderate,night,
2023-02-14 19:40:00,SMM00894_20230214_194000_0-2_light_night.wav,0.2,light,night,
2023-02-14 19:45:00,SMM00894_20230214_194500_0-2_light_night.wav,0.2,light,night,
2023-02-14 19:50:00,SMM00894_20230214_195000_0-4_moderate_night.wav,0.4,moderate,night,
2023-02-14 19:55:00,SMM00894_20230214_195500_0-2_light_night.wav,0.2,light,night,
2023-02-14 20:00:00,SMM00894_20230214_200000_0-2_light_night.wav,0.2,light,night,
2023-02-14 20:05:00,SMM00894_20230214_200500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 20:10:00,SMM00894_20230214_201000_0-2_no-rain_night.wav,0.2,no-rain,night,True
2023-02-14 20:15:00,SMM00894_20230214_201500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 20:20:00,SMM00894_20230214_202000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 20:25:00,SMM00894_20230214_202500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 20:30:00,SMM00894_20230214_203000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 20:35:00,SMM00894_20230214_203500_0-2_no-rain_night.wav,0.2,no-rain,night,True
2023-02-14 20:40:00,SMM00894_20230214_204000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 20:45:00,SMM00894_20230214_204500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 20:50:00,SMM00894_20230214_205000_0-2_no-rain_night.wav,0.2,no-rain,night,False
2023-02-14 20:55:00,SMM00894_20230214_205500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 21:00:00,SMM00894_20230214_210000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 21:05:00,SMM00894_20230214_210500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 21:10:00,SMM00894_20230214_211000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 21:15:00,SMM00894_20230214_211500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 21:20:00,SMM00894_20230214_212000_0-4_moderate_night.wav,0.4,moderate,night,True
2023-02-14 21:25:00,SMM00894_20230214_212500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 21:30:00,SMM00894_20230214_213000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 21:35:00,SMM00894_20230214_213500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 21:40:00,SMM00894_20230214_214000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 21:45:00,SMM00894_20230214_214500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 21:50:00,SMM00894_20230214_215000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 21:55:00,SMM00894_20230214_215500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 22:00:00,SMM00894_20230214_220000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 22:05:00,SMM00894_20230214_220500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 22:10:00,SMM00894_20230214_221000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 22:15:00,SMM00894_20230214_221500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 22:20:00,SMM00894_20230214_222000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 22:25:00,SMM00894_20230214_222500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 22:30:00,SMM00894_20230214_223000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 22:35:00,SMM00894_20230214_223500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 22:40:00,SMM00894_20230214_224000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 22:45:00,SMM00894_20230214_224500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 22:50:00,SMM00894_20230214_225000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 22:55:00,SMM00894_20230214_225500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 23:00:00,SMM00894_20230214_230000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 23:05:00,SMM00894_20230214_230500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 23:10:00,SMM00894_20230214_231000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 23:15:00,SMM00894_20230214_231500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 23:20:00,SMM00894_20230214_232000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 23:25:00,SMM00894_20230214_232500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 23:30:00,SMM00894_20230214_233000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 23:35:00,SMM00894_20230214_233500_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-14 23:40:00,SMM00894_20230214_234000_0-0_no-rain_night.wav,0.0,no-rain,night,False
2023-02-14 23:45:00,SMM00894_20230214_234500_0-0_no-rain_night.wav,0.0,no-rain,night,False
2023-02-14 23:50:00,SMM00894_20230214_235000_0-0_no-rain_night.wav,0.0,no-rain,night,False
2023-02-14 23:55:00,SMM00894_20230214_235500_0-0_no-rain_night.wav,0.0,no-rain,night,False
2023-02-15 00:00:00,SMM00894_20230215_000000_0-0_no-rain_night.wav,0.0,no-rain,night,True
2023-02-15 00:05:00,SMM00894_20230215_000500_0-0_no-rain_night.wav,0.0,no-rain,night,False
2023-02-15 00:10:00,SMM00894_20230215_001000_0-0_no-rain_night.wav,0.0,no-rain,night,False
2023-02-15 00:15:00,SMM00894_20230215_001500_0-0_no-rain_night.wav,0.0,no-rain,night,False
2023-02-15 00:20:00,SMM00894_20230215_002000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 00:25:00,SMM00894_20230215_002500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 00:30:00,SMM00894_20230215_003000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 00:35:00,SMM00894_20230215_003500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 00:40:00,SMM00894_20230215_004000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 00:45:00,SMM00894_20230215_004500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 00:50:00,SMM00894_20230215_005000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 00:55:00,SMM00894_20230215_005500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 01:00:00,SMM00894_20230215_010000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 01:05:00,SMM00894_20230215_010500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 01:10:00,SMM00894_20230215_011000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 01:15:00,SMM00894_20230215_011500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 01:20:00,SMM00894_20230215_012000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 01:25:00,SMM00894_20230215_012500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 01:30:00,SMM00894_20230215_013000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 01:35:00,SMM00894_20230215_013500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 01:40:00,SMM00894_20230215_014000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 01:45:00,SMM00894_20230215_014500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 01:50:00,SMM00894_20230215_015000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 01:55:00,SMM00894_20230215_015500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 02:00:00,SMM00894_20230215_020000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 02:05:00,SMM00894_20230215_020500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 02:10:00,SMM00894_20230215_021000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 02:15:00,SMM00894_20230215_021500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 02:20:00,SMM00894_20230215_022000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 02:25:00,SMM00894_20230215_022500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 02:30:00,SMM00894_20230215_023000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 02:35:00,SMM00894_20230215_023500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 02:40:00,SMM00894_20230215_024000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 02:45:00,SMM00894_20230215_024500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 02:50:00,SMM00894_20230215_025000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 02:55:00,SMM00894_20230215_025500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 03:00:00,SMM00894_20230215_030000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 03:05:00,SMM00894_20230215_030500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 03:10:00,SMM00894_20230215_031000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 03:15:00,SMM00894_20230215_031500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 03:20:00,SMM00894_20230215_032000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 03:25:00,SMM00894_20230215_032500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 03:30:00,SMM00894_20230215_033000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 03:35:00,SMM00894_20230215_033500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 03:40:00,SMM00894_20230215_034000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 03:45:00,SMM00894_20230215_034500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 03:50:00,SMM00894_20230215_035000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 03:55:00,SMM00894_20230215_035500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 04:00:00,SMM00894_20230215_040000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 04:05:00,SMM00894_20230215_040500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 04:10:00,SMM00894_20230215_041000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 04:15:00,SMM00894_20230215_041500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 04:20:00,SMM00894_20230215_042000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 04:25:00,SMM00894_20230215_042500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 04:30:00,SMM00894_20230215_043000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 04:35:00,SMM00894_20230215_043500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 04:40:00,SMM00894_20230215_044000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 04:45:00,SMM00894_20230215_044500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 04:50:00,SMM00894_20230215_045000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 04:55:00,SMM00894_20230215_045500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 05:00:00,SMM00894_20230215_050000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 05:05:00,SMM00894_20230215_050500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 05:10:00,SMM00894_20230215_051000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 05:15:00,SMM00894_20230215_051500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 05:20:00,SMM00894_20230215_052000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 05:25:00,SMM00894_20230215_052500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 05:30:00,SMM00894_20230215_053000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 05:35:00,SMM00894_20230215_053500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 05:40:00,SMM00894_20230215_054000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 05:45:00,SMM00894_20230215_054500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 05:50:00,SMM00894_20230215_055000_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 05:55:00,SMM00894_20230215_055500_0-0_no-rain_night.wav,0.0,no-rain,night,
2023-02-15 06:00:00,SMM00894_20230215_060000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 06:05:00,SMM00894_20230215_060500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 06:10:00,SMM00894_20230215_061000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 06:15:00,SMM00894_20230215_061500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 06:20:00,SMM00894_20230215_062000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 06:25:00,SMM00894_20230215_062500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 06:30:00,SMM00894_20230215_063000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 06:35:00,SMM00894_20230215_063500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 06:40:00,SMM00894_20230215_064000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 06:45:00,SMM00894_20230215_064500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 06:50:00,SMM00894_20230215_065000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 06:55:00,SMM00894_20230215_065500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 07:00:00,SMM00894_20230215_070000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 07:05:00,SMM00894_20230215_070500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 07:10:00,SMM00894_20230215_071000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 07:15:00,SMM00894_20230215_071500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 07:20:00,SMM00894_20230215_072000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 07:25:00,SMM00894_20230215_072500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-15 07:30:00,SMM00894_20230215_073000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
